age,height,weight,sex
43,100,33,female
19,145,93,male
12,126,88,female
42,114,96,male
21,177,32,male
10,181,46,male
49,194,74,male
5,144,83,male
27,112,16,male
31,145,89,male
12,174,43,male
13,138,92,male
22,165,65,male
26,119,61,male
24,148,50,male
40,139,40,male
36,198,58,male
28,112,34,male
32,109,25,male
8,129,88,male
21,141,23,male
29,132,92,male
7,186,98,male
38,142,72,male
8,138,18,male
35,169,94,male
28,178,66,male
11,129,54,male
19,141,49,male
31,161,90,male
38,171,89,male
30,157,44,male
46,128,91,male
7,173,99,male
43,138,46,male
5,124,27,male
17,151,83,male
12,107,37,male
21,143,67,male
32,200,62,male
37,159,45,male
48,195,65,male
36,137,37,male
32,134,93,male
34,121,69,male
30,137,51,male
5,131,98,male
9,134,56,male
37,182,80,male
31,150,68,male
8,179,26,male
48,129,66,male
28,169,86,male
13,126,25,male
27,127,54,male
32,177,77,male
42,102,16,male
25,165,72,male
26,190,42,male
37,170,63,male
29,123,84,male
24,103,32,male
23,156,60,male
35,198,54,male
39,110,40,male
49,135,83,male
26,182,89,male
19,162,58,male
45,191,27,male
40,179,55,male
38,125,39,male
32,186,35,male
21,169,79,male
23,145,24,male
13,108,96,male
12,157,86,male
46,148,96,male
21,143,45,male
7,158,18,male
37,191,72,male
29,141,57,male
47,115,36,male
26,129,79,male
42,170,21,male
6,114,88,male
22,198,50,male
43,149,39,male
46,129,27,male
31,118,50,male
40,160,99,male
49,187,43,male
24,146,73,male
50,189,82,male
19,109,95,male
14,144,67,male
49,133,85,male
15,170,51,male
23,131,52,male
42,129,47,male
24,106,73,male
41,181,97,female
17,169,64,male
38,106,80,female
12,132,24,male
42,173,61,female
46,161,70,male
23,155,35,male
20,161,96,male
32,161,64,male
9,187,66,male
24,115,70,female
24,198,21,female
22,107,32,male
47,190,94,male
22,157,41,male
46,127,46,female
46,196,58,female
27,119,33,male
22,169,21,male
43,106,74,female
40,160,41,male
49,168,33,female
25,134,53,male
14,149,46,male
42,133,38,female
41,176,59,male
9,120,58,female
10,107,24,male
41,103,45,female
29,124,79,male
17,184,15,female
8,157,37,female
16,182,15,female
23,127,44,male
9,168,75,female
43,179,61,male
10,134,92,female
48,162,54,male
12,120,38,female
8,103,59,male
11,118,34,female
16,124,18,male
14,121,15,male
35,171,44,female
5,193,51,male
41,196,38,female
34,142,42,male
29,119,76,male
23,138,80,male
50,176,15,male
